Title, ID, Acousticness, Danceability, Energy, Instrumentalness, Liveness, Loudness, Speechiness, Valence, Tempo, Popularity
Freaky Friday (feat. Chris Brown),10Igtw8bSDyyFs7KIsKngZ,0.147,0.755,0.599,0,0.109,0.5585145098745781,0.224,0.755,0.6051045454545454,0.8
Africa,2374M0fQpWi3dLnB54qaLX,0.257,0.671,0.373,7.95e-05,0.0481,0.12407921190938098,0.0323,0.732,0.4214409090909091,0.86
Wagon Wheel,3xdjjKMcMOFgo1eQrfbogM,0.456,0.529,0.663,0,0.142,0.438404141822058,0.0306,0.592,0.6731909090909091,0.78
Summer Nights,0QkWubamAKEvvcOTriSKX3,0.0201,0.835,0.609,1.28e-06,0.107,0.5214737968140991,0.0336,0.781,0.5916090909090909,0.63
Higher Love,6oJ6le65B3SEqPwMRNXWjY,0.0154,0.693,0.678,6.05e-06,0.101,0.43734185582205043,0.0324,0.404,0.4725090909090909,0.93
Work Out,2wAJTrFhCnQyNSD3oUgTZO,0.0531,0.831,0.427,0,0.307,0.45046908356103604,0.106,0.216,0.4227454545454546,0.76
I Like It,58q2HKrzhC3ozto2nDdN4z,0.099,0.816,0.726,0,0.372,0.6301060935507773,0.129,0.65,0.6184000000000001,0.86
Titanium (feat. Sia),77TT8Xvx637TpzV8kKGkUw,0.069,0.599,0.803,0.137,0.129,0.6566364159439313,0.0986,0.233,0.5729863636363637,0.68
Chop Suey!,2DlHlPMa4M17kufBvI2lEN,0.000278,0.419,0.934,0.0015,0.132,0.636691613668507,0.12,0.286,0.5785818181818182,0.82
Rahhh (feat. Charlie Farley),1BS4VnfQMyFFcBqATWGkTj,0.00673,0.657,0.753,5.4e-06,0.108,0.5033033131619257,0.126,0.623,0.4681045454545455,0.31
Queen of Mean,4o05DiC0RQ9DNtGJGauwna,0.248,0.543,0.787,0,0.0778,0.4708480086936735,0.241,0.343,0.7895545454545454,0.77
Kiss Me Thru The Phone,2q4rjDy9WhaN3o9MvDbO21,0.0175,0.761,0.724,0,0.116,0.6433459619973347,0.111,0.815,0.6815272727272728,0.77
Free Fallin',5tVA6TkbaAH9QMITTQRrNv,0.219,0.63,0.449,0,0.0622,0.2165591947556641,0.0252,0.623,0.3835363636363636,0.78
Summer Nights,0QkWubamAKEvvcOTriSKX3,0.0201,0.835,0.609,1.28e-06,0.107,0.5214737968140991,0.0336,0.781,0.5916090909090909,0.63
Thunder Road,56lhDZNQ5J47aog6mGKeGk,0.623,0.369,0.758,1.78e-05,0.531,0.5075071313834109,0.0364,0.663,0.6395909090909091,0.68
El Scorcho,3g2gQMeeQAEPztiQKMlGSl,0.0471,0.479,0.707,0,0.0932,0.5633096142486397,0.0659,0.661,0.6731454545454546,0.58
Drunken Angel,1Nh6fir02LnNOnfTQY3uzU,0.0673,0.467,0.577,1.12e-06,0.159,0.3962089385906547,0.0335,0.45,0.3440909090909091,0.37
Wild for the Night (feat. Skrillex & Birdy Nam Nam),2rzBvHM9h36Tpdj7Jdajka,0.0483,0.759,0.849,0,0.121,0.6131590834914836,0.335,0.681,0.6363681818181819,0.7
Shallow,2VxeLyX666F8uXCJ0dZF8B,0.371,0.572,0.385,0,0.231,0.4795212539272852,0.0308,0.323,0.43545,0.9
All Star,3cfOd4CMv2snFaKAnMdnvK,0.0319,0.731,0.861,0,0.0829,0.5069211746817208,0.0323,0.78,0.47288181818181824,0.81
All of Me,3U4isOIWM3VvDubwSI3y7a,0.922,0.422,0.264,0,0.132,0.4421680433517242,0.0322,0.331,0.5451363636363636,0.87
Panic On the Streets of Health Care City,1XBXsuZwwmtEW5UgkYmxRA,0.00199,0.415,0.94,6.15e-06,0.2,0.5716352017807375,0.111,0.335,0.7625454545454545,0.17
Don�t Call Me Angel (Charlie�s Angels) (with Miley Cyrus & Lana Del Rey),3NkJNL3WqO1Lqc3uNDxvCN,0.00268,0.643,0.721,6.51e-06,0.0898,0.5453798612809548,0.0449,0.317,0.4677909090909091,0.94
Hurt,6ws029JdM7CyhLgxto9MSU,0.019,0.564,0.781,0,0.362,0.5095044551713543,0.038,0.501,0.42723181818181816,0.74
Hello,4sPmO7WMQUAf45kwMOtONw,0.336,0.481,0.451,0,0.0872,0.4945425866904692,0.0347,0.289,0.7180272727272727,0.73
listen before i go,0tMSssfxAL2oV8Vri0mFHE,0.935,0.319,0.0561,0.00384,0.388,0.06996772208576463,0.045,0.082,0.36256363636363637,0.82
Womanizer,4fixebDZAVToLbUCuEloa2,0.073,0.724,0.695,0,0.0889,0.5467677287423162,0.0622,0.235,0.6318181818181818,0.76
Dilemma,0ARK753YaiJbpLUk7z5yIM,0.211,0.725,0.534,2.91e-05,0.221,0.3805083452098395,0.167,0.621,0.7641772727272728,0.79
Let It Go,13HVjjWUZFaWilh2QUJKsP,0.818,0.546,0.311,1.65e-05,0.107,0.30089527003840444,0.0288,0.246,0.670290909090909,0.75
Baby Shark,5ygDXis42ncn6kYG14lEVG,0.245,0.825,0.84,0,0.341,0.6558782778120646,0.227,0.52,0.5230090909090909,0.79
Price Tag,5mvKuE9Lf9ARVXVXA32kK9,0.0281,0.638,0.831,3.06e-06,0.277,0.6340491862690948,0.182,0.685,0.7956272727272727,0.63
Hey Ya!,2PpruBYCo4H7WOBJ7Q2EwM,0.103,0.728,0.974,0.000532,0.175,0.7701261375574036,0.0665,0.965,0.3614818181818182,0.8
Hey Jude - Remastered 2015,0aym2LBJBk9DAYuHHutrIl,0.0112,0.386,0.607,1.38e-05,0.088,0.4108451572928951,0.0261,0.532,0.6691227272727273,0.8
September,7Cuk8jsPPoNYQWXK9XRFvG,0.165,0.694,0.831,0.000892,0.25,0.43087262107027213,0.0301,0.98,0.5722772727272727,0.83
Le Freak - 2018 Remaster,3ClOMebBxeNTYCOfTH24YJ,0.0258,0.91,0.641,6.42e-05,0.0642,0.27055616113142866,0.0589,0.903,0.5387863636363637,0.7
Hot Stuff,2zMJN9JvDlvGP4jB03l1Bz,0.00559,0.823,0.743,0.0306,0.0707,0.19888412093872965,0.0316,0.966,0.5475954545454546,0.65
Jolene,2SpEHTbUuebeLkgs9QB7Ue,0.566,0.674,0.537,0,0.131,0.2815572099198788,0.0363,0.809,0.5026272727272727,0.77
Greatest Love Story,2yQZwi1P8AkkxxFhQ8rMEK,0.401,0.671,0.617,0,0.119,0.36517671115251815,0.0561,0.62,0.6726636363636364,0.75
One Man Band,3ksmU0DaEUMEVzx5V6cc3z,0.667,0.705,0.363,0,0.112,0.3821382739859299,0.0355,0.482,0.3453636363636364,0.8
Tainted Love,58E1XVmZTODC67YNjneuXM,0.558,0.542,0.45,6.43e-06,0.579,0.31750106435468073,0.0361,0.626,0.6565318181818183,0.69
God is a woman,5OCJzvD7sykQEKHH7qAC3C,0.0233,0.602,0.658,6e-05,0.237,0.503826880205252,0.0558,0.268,0.6592318181818182,0.83
Ironic,4oGTdOClZUxcM2H3UmXlwL,0.25,0.295,0.593,0,0.236,0.416965521912482,0.0555,0.37,0.38855454545454543,0.6
Woah (feat. D3Mstreet),5lN7UtvhpwEHzifSjKw3z2,0.00739,0.888,0.522,0,0.0452,0.3561770996453107,0.43,0.623,0.6545954545454545,0.75
Halo,4JehYebiI9JE8sR8MisGVb,0.272,0.508,0.72,0,0.0563,0.5053424686583592,0.0628,0.472,0.36355909090909094,0.8
Love On Top,1z6WtY7X4HQJvzxC4UgkSf,0.0849,0.652,0.748,0,0.604,0.545758020839111,0.0887,0.652,0.4277272727272727,0.76
Shake It Out,4lY95OMGb9WxP6IYut64ir,0.0126,0.519,0.808,0,0.105,0.6229406685560507,0.0383,0.251,0.4886590909090909,0.65
Stay,4H7WNRErSbONkM06blBoGc,0.414,0.479,0.468,0,0.148,0.5361344207434116,0.0274,0.35,0.39051363636363634,0.81
So Yesterday,0J1Wfjo9H3R62yaCuuNDZX,0.229,0.547,0.832,0,0.306,0.6482699778515276,0.0808,0.771,0.35549545454545456,0.55
All of Me,3U4isOIWM3VvDubwSI3y7a,0.922,0.422,0.264,0,0.132,0.4421680433517242,0.0322,0.331,0.5451363636363636,0.87
She's so High,7mnGQesk1TzQLzQ9bYWZPR,0.2,0.537,0.84,2.15e-06,0.0998,0.5860111418372569,0.0363,0.211,0.5648590909090909,0.73
Why Don't You Love Me (feat. Jazzy Eff),0W3l7Hz7G6ZyYbCTICSXFo,0.033,0.605,0.735,0,0.148,0.5423013499115341,0.313,0.836,0.5908681818181819,0.34
She Bangs the Drums - Remastered,3clIHVzJ9J2rvvrFUKLICo,0.00649,0.34,0.976,0.00643,0.123,0.5755447456638814,0.0912,0.669,0.6578954545454545,0.62
Valerie - Live At BBC Radio 1 Live Lounge,6CQaVuICm1WVXyy3SZ5jEI,0.751,0.739,0.365,1.65e-06,0.161,0.5157820007354895,0.0415,0.699,0.43679545454545454,0.68
Lucky You (feat. Joyner Lucas),60SdxE8apGAxMiRrpbmLY0,0.0627,0.876,0.786,0,0.127,0.5688026139362523,0.306,0.575,0.6957636363636365,0.83
Lucid Dreams,285pBltuF7vW8TeWk8hdRR,0.349,0.511,0.566,0,0.34,0.43376934357603397,0.2,0.218,0.38137727272727273,0.88
Smooth Criminal,5z6xHjCZr7a7AIcy8sPBKy,0.00434,0.647,0.964,0.0036,0.15,0.6137969292597055,0.06,0.875,0.5770090909090909,0.75
Underwater,5ZvHcR4OSwvEV5IhigbTOT,0.019,0.611,0.809,0.0185,0.114,0.4649024713065809,0.0342,0.428,0.5363772727272728,0.68
Sign of the Times,5Ohxk2dO5COHF1krpoPigN,0.0275,0.516,0.595,0,0.109,0.5857404097473086,0.0313,0.222,0.5453272727272727,0.8
Centerfold,1ynmMEK1fkyiZ6Z6F3ThEt,0.249,0.653,0.677,0,0.403,0.2430513973052746,0.0396,0.888,0.5198636363636364,0.74
Super Trouper,2nMghZvtLx6DDgTEHEsb4w,0.457,0.764,0.626,6.35e-06,0.172,0.38448520781756723,0.0288,0.961,0.5378363636363637,0.61
New Romantics,6rZVy6FIG7lSJQMFXHo12z,0.00463,0.633,0.889,0.000458,0.0658,0.5075657642929874,0.0715,0.584,0.5543454545454546,0.58
Uptown Funk,32OlwWuMpZ6b0aN2RZOeMS,0.00801,0.856,0.609,8.15e-05,0.0344,0.4341202624430892,0.0824,0.928,0.5226727272727273,0.82
Everytime,4zvHZWOGyL7WcmqHOgtGCW,0.0252,0.431,0.669,0.0433,0.117,0.3126239040621721,0.035,0.855,0.9268454545454545,0.72
One Thing Right,4hPpVbbakQNv8YTHYaOJP4,0.0667,0.659,0.623,0,0.582,0.7708382142372457,0.0451,0.439,0.4001909090909091,0.89
Modern Love - 2018 Remaster,3gxEZXUjrNbl3TlSrTGbR5,0.00375,0.358,0.938,9.2e-06,0.117,0.5250402753763069,0.0483,0.944,0.8310727272727273,0.68
Some Nights,6t6oULCRS6hnI7rm0h5gwl,0.0178,0.672,0.738,6.75e-05,0.0927,0.4431396531400726,0.0506,0.392,0.49062727272727275,0.72
The Way Life Goes (feat. Oh Wonder),2eAZfqOm4EnOF9VvN50Tyc,0.617,0.703,0.757,0,0.106,0.65883997586707,0.05,0.696,0.37276363636363635,0.8
My Happy Ending,6sqNctd7MlJoKDOxPVCAvU,0.00136,0.414,0.936,0,0.369,0.7572456724347512,0.0758,0.74,0.7737681818181819,0.7
I'm On A Boat,3IQSYqnKsCTMLWn2xE3HFT,0.0421,0.622,0.872,0,0.0996,0.7691481060537899,0.264,0.643,0.6816318181818182,0.62
SUGAR,6U0FIYXCQ3TGrk4tFpLrEA,0.449,0.453,0.538,0,0.19,0.38724897710323875,0.0638,0.516,0.5589681818181819,0.8
Stay With Me,5Nm9ERjJZ5oyfXZTECKmRt,0.588,0.418,0.42,6.39e-05,0.11,0.475000191437443,0.0414,0.184,0.3822454545454545,0.85
Girl Crush,11qh54D0PKkBwelpDxxiEU,0.842,0.5,0.225,0,0.112,0.3070757873422937,0.0302,0.355,0.7899454545454546,0.69
Roar,6F5c58TMEs1byxUstkzVeM,0.00487,0.554,0.772,6.6e-06,0.354,0.5729574865171394,0.0418,0.455,0.8181090909090909,0.79
Tah Dah,5m8Msk1mup6LXeFndWyWD8,0.123,0.764,0.808,7.54e-06,0.143,0.6347087632062958,0.0357,0.692,0.45465,0.32
Mamma Mia,22NN4BS1AlqVbyKIWExgON,0.287,0.75,0.754,0.000207,0.444,0.4455008223706362,0.0327,0.83,0.62515,0.65
Goodbye Earl,7rqaqQurHzR5xHAhdm1gmM,0.0192,0.705,0.7,0,0.0755,0.42631744588397835,0.0295,0.765,0.5583681818181818,0.6
Burning Up (Fire),4z9gBZQjGS4QLb4LOvmeuA,0.00227,0.627,0.706,0,0.122,0.6908766221763901,0.0597,0.536,0.45422727272727276,0.74
Do I Look Worried,1JFdocYRMthec2BNrkOF1b,0.404,0.432,0.603,0.000619,0.243,0.40862045583118284,0.0312,0.587,0.3689090909090909,0.45
Killer Queen - Remastered 2011,7GqWnsKhMtEW0nzki5o0d8,0.34,0.568,0.642,0,0.171,0.4722098366775338,0.0447,0.604,0.5332045454545454,0.7
I Will Survive - Single Version,7cv28LXcjAC3GsXbUvXKbX,0.0181,0.775,0.731,0.00952,0.253,0.36538770642426033,0.0536,0.558,0.5302727272727272,0.67
Stitches,5jsw9uXEGuKyJzs0boZ1bT,0.0152,0.746,0.754,0,0.0486,0.4621714348836731,0.067,0.764,0.6812818181818182,0.76
Chandelier,2s1sdSqGcKxpPr5lCl7jAV,0.0197,0.399,0.787,6.07e-05,0.0685,0.7169776240079136,0.0499,0.572,0.5322227272727272,0.71
Old Town Road - Remix,2YpeDb67231RjR0MgVLzsG,0.0533,0.878,0.619,0,0.113,0.5260724241003581,0.102,0.639,0.6183681818181818,0.94
Truth Hurts,5qmq61DAAOUaW8AUo8xKhh,0.11,0.715,0.624,0,0.123,0.7033590916411587,0.114,0.412,0.7185772727272727,0.94
Sweet Caroline,62AuGbAkt8Ox2IrFFb8GKV,0.611,0.529,0.127,0.000109,0.237,0.1562938952093027,0.0274,0.578,0.28659090909090906,0.8
thank u next,3e9HZxeyfWwjeyPAMmWSSQ,0.229,0.717,0.653,0,0.101,0.5215942967649291,0.0658,0.412,0.48620909090909087,0.89
thank u next,3e9HZxeyfWwjeyPAMmWSSQ,0.229,0.717,0.653,0,0.101,0.5215942967649291,0.0658,0.412,0.48620909090909087,0.89
Sucker,4y3OI86AEP6PQoDE6olYhO,0.0427,0.842,0.734,0,0.106,0.5570324707780351,0.0588,0.952,0.6270818181818182,0.88
Irreplaceable,6RX5iL93VZ5fKmyvNXvF1r,0.0293,0.447,0.694,5.46e-06,0.167,0.5852669295189953,0.382,0.509,0.7994,0.74
Mr. Brightside,7oK9VyNzrYvRFo7nQEYkWN,0.00108,0.33,0.936,0,0.0926,0.6551967019291817,0.0917,0.234,0.6732363636363636,0.79
